"X","Y","Z","focal length","aim x","aim y","aim z"
"m","m","m","m","m","m","m"
-385.02,491.43,5.2,633.876869194641,0,0,107.7
-353.05,472.58,5.2,589.917959465551,0,0,107.7
-348.48,440.15,5.2,561.42441423579,0,0,107.7
-318.22,425.39,5.2,531.269856570086,0,0,107.7
-315.37,397.17,5.2,507.177765482676,0,0,107.7
-343.91,405.24,5.2,531.526655681538,0,0,107.7
-339.34,378.39,5.2,508.288960828386,0,0,107.7
-368.46,383.61,5.2,531.927103746369,0,0,107.7
-361.04,356.65,5.2,507.51959972005,0,0,107.7
-350.19,324.33,5.2,477.336385581489,0,0,107.7
-342.77,297.33,5.2,453.787881944858,0,0,107.7
-322.79,317.74,5.2,452.96703158177,0,0,107.7
-311.94,294.81,5.2,429.2394899121,0,0,107.7
-303.38,267.86,5.2,404.741206204656,0,0,107.7
-297.1,240.9,5.2,382.52877015984,0,0,107.7
-271.41,239.73,5.2,362.161429475862,0,0,107.7
-275.97,263.81,5.2,381.814348866043,0,0,107.7
-248.57,261.11,5.2,360.544750343144,0,0,107.7
-225.74,257.17,5.2,342.230911081977,0,0,107.7
-202.9,251.69,5.2,323.331573002081,0,0,107.7
-184.63,243.73,5.2,305.809728099026,0,0,107.7
-180.07,266.48,5.2,321.657947671125,0,0,107.7
-161.8,258.46,5.2,304.971886573173,0,0,107.7
-157.8,281.37,5.2,322.640600204004,0,0,107.7
-139.53,271.79,5.2,305.557629588921,0,0,107.7
-131.54,293.42,5.2,321.59774252939,0,0,107.7
-116.13,282.74,5.2,305.704308932668,0,0,107.7
-107.56,302.96,5.2,321.52908919723,0,0,107.7
-90.44,293.32,5.2,306.990319065602,0,0,107.7
-81.87,312.3,5.2,322.894761338737,0,0,107.7
-64.74,297.43,5.2,304.438684302767,0,0,107.7
-52.76,317.64,5.2,322.033891384121,0,0,107.7
-39.05,301.53,5.2,304.092557291362,0,0,107.7
-27.07,321.66,5.2,322.838938946342,0,0,107.7
-13.36,305.58,5.2,305.916109415637,0,0,107.7
0.34,321.8,5.2,321.842190522001,0,0,107.7
14.04,339.02,5.2,339.350441284522,0,0,107.7
27.74,320.28,5.2,321.521112837089,0,0,107.7
14.04,304.29,5.2,304.65811280844,0,0,107.7
0.34,285.36,5.2,285.40757733459,0,0,107.7
-14.51,271.78,5.2,272.2167307496,0,0,107.7
0.34,258.46,5.2,258.512528129683,0,0,107.7
12.33,244.94,5.2,245.305263906016,0,0,107.7
0.34,230.18,5.2,230.238980192321,0,0,107.7
-13.36,244.88,5.2,245.299294740119,0,0,107.7
-29.92,255.83,5.2,257.626154145886,0,0,107.7
-41.91,240.87,5.2,244.544157566686,0,0,107.7
-25.35,228.98,5.2,230.437633428223,0,0,107.7
-52.76,223.25,5.2,229.458536777345,0,0,107.7
-69.31,234.14,5.2,244.238522145873,0,0,107.7
-76.73,216.82,5.2,230.055309219327,0,0,107.7
-95,224.72,5.2,244.030978361355,0,0,107.7
-101.28,207.29,5.2,230.767897464097,0,0,107.7
-119.55,214.02,5.2,245.201555663907,0,0,107.7
-114.98,232.76,5.2,259.662584905874,0,0,107.7
-133.25,238.17,5.2,272.960714023099,0,0,107.7
-139.53,218.03,5.2,258.906820690379,0,0,107.7
-143.53,200.57,5.2,246.690546636875,0,0,107.7
-124.12,195.13,5.2,231.319111402409,0,0,107.7
-125.83,174.82,5.2,215.458258834513,0,0,107.7
-131.54,158.65,5.2,206.154393841121,0,0,107.7
-111.56,160.17,5.2,195.261625774242,0,0,107.7
-92.15,157.39,5.2,182.456226531187,0,0,107.7
-99.57,141.27,5.2,172.911647380967,0,0,107.7
-102.99,123.74,5.2,161.076279135073,0,0,107.7
-85.87,123.79,5.2,150.747009920595,0,0,107.7
-80.16,139.96,5.2,161.37368806593,0,0,107.7
-64.74,135.95,5.2,150.667548264382,0,0,107.7
-68.17,118.44,5.2,136.756069335149,0,0,107.7
-48.19,114.47,5.2,124.308877398197,0,0,107.7
-55.61,95.41,5.2,110.555778682075,0,0,107.7
-58.47,77.94,5.2,97.5726626673681,0,0,107.7
-41.91,74.04,5.2,85.2373726718509,0,0,107.7
-37.91,90.15,5.2,97.9348283298643,0,0,107.7
-22.5,83.3,5.2,86.441772309457,0,0,107.7
-13.36,96.84,5.2,97.8954299239755,0,0,107.7
-28.21,104.95,5.2,108.799570771212,0,0,107.7
-16.22,122.48,5.2,123.658719061779,0,0,107.7
0.34,110.29,5.2,110.41304134929,0,0,107.7
12.33,96.79,5.2,97.7106596027271,0,0,107.7
20.32,81.94,5.2,84.581948428728,0,0,107.7
38.02,90.16,5.2,97.9866623576903,0,0,107.7
41.44,74.04,5.2,85.0072655718322,0,0,107.7
59.71,78,5.2,98.3683084128217,0,0,107.7
58,60.72,5.2,84.130603230929,0,0,107.7
76.27,60.66,5.2,97.5898995798233,0,0,107.7
77.98,78,5.2,110.417029483681,0,0,107.7
95.68,76.68,5.2,122.725404053114,0,0,107.7
95.68,54.99,5.2,110.478968586786,0,0,107.7
89.97,38.98,5.2,98.1890080406152,0,0,107.7
73.41,43.09,5.2,85.2808079230022,0,0,107.7
112.8,48.3,5.2,122.816000586243,0,0,107.7
117.37,68.62,5.2,136.05683114052,0,0,107.7
133.93,64.46,5.2,148.725843416671,0,0,107.7
136.78,80.48,5.2,158.785511933551,0,0,107.7
121.94,86.2,5.2,149.421697219647,0,0,107.7
121.94,102.11,5.2,159.131567264324,0,0,107.7
105.38,106.37,5.2,149.821765107744,0,0,107.7
103.67,123.74,5.2,161.511908229703,0,0,107.7
99.1,141.22,5.2,172.60051680108,0,0,107.7
117.37,140.01,5.2,182.771871468232,0,0,107.7
121.94,123.74,5.2,173.8044625434,0,0,107.7
139.63,117.14,5.2,182.333092169249,0,0,107.7
141.35,98.21,5.2,172.197754340758,0,0,107.7
156.76,91.5,5.2,181.584656840825,0,0,107.7
156.76,74.04,5.2,173.443533174345,0,0,107.7
171.6,61.83,5.2,182.473419708187,0,0,107.7
176.17,83.25,5.2,194.919140671202,0,0,107.7
177.88,103.55,5.2,205.890594491346,0,0,107.7
159.62,114.62,5.2,196.579065009477,0,0,107.7
156.76,131.8,5.2,204.870636256151,0,0,107.7
136.78,138.71,5.2,194.875017639512,0,0,107.7
132.21,158.7,5.2,206.620943033372,0,0,107.7
124.79,174.82,5.2,214.852545947215,0,0,107.7
111.09,160.13,5.2,194.960624229612,0,0,107.7
91.68,158.7,5.2,183.351990444609,0,0,107.7
73.41,156.07,5.2,172.551189506187,0,0,107.7
79.12,138.67,5.2,159.738484091968,0,0,107.7
85.4,123.69,5.2,150.397526907858,0,0,107.7
67.13,119.64,5.2,137.285128473553,0,0,107.7
62.56,135.9,5.2,149.698375408686,0,0,107.7
55.14,149.06,5.2,159.016801628004,0,0,107.7
39.73,143.96,5.2,149.432240497156,0,0,107.7
29.45,157.28,5.2,160.097910354883,0,0,107.7
44.3,166.91,5.2,172.767121003969,0,0,107.7
61.42,170.86,5.2,181.638641263361,0,0,107.7
50.58,188.45,5.2,195.189084991964,0,0,107.7
69.99,193.75,5.2,206.069654728686,0,0,107.7
81.97,176.18,5.2,194.384961609688,0,0,107.7
101.96,177.58,5.2,204.835392449645,0,0,107.7
123.08,195.08,5.2,230.720464631987,0,0,107.7
118.51,213.98,5.2,244.661195329378,0,0,107.7
113.94,232.83,5.2,259.266605061277,0,0,107.7
106.52,251.65,5.2,273.315336013185,0,0,107.7
97.39,269.1,5.2,286.228339093109,0,0,107.7
76.27,261.1,5.2,272.061321947828,0,0,107.7
87.11,246.3,5.2,261.302281084571,0,0,107.7
68.84,235.48,5.2,245.391148984636,0,0,107.7
76.27,216.82,5.2,229.90229511686,0,0,107.7
94.53,226.09,5.2,245.111503198034,0,0,107.7
99.1,207.24,5.2,229.77438412495,0,0,107.7
138.49,217.93,5.2,258.263441082938,0,0,107.7
143.06,200.48,5.2,246.344137336369,0,0,107.7
144.77,180.48,5.2,231.426928640554,0,0,107.7
164.18,181.68,5.2,244.928019630258,0,0,107.7
163.04,162.96,5.2,230.575460966687,0,0,107.7
182.45,163.09,5.2,244.772119735888,0,0,107.7
183.59,181.9,5.2,258.495528201166,0,0,107.7
182.45,201.71,5.2,272.033024833383,0,0,107.7
164.18,201.79,5.2,260.194766473117,0,0,107.7
159.62,220.67,5.2,272.3982990035,0,0,107.7
133.93,238.2,5.2,273.319455765593,0,0,107.7
138.49,271.82,5.2,305.110852805992,0,0,107.7
156.76,281.28,5.2,322.054616486086,0,0,107.7
153.34,304.25,5.2,340.746618618586,0,0,107.7
132.21,293.48,5.2,321.927063944615,0,0,107.7
115.66,282.65,5.2,305.442790224291,0,0,107.7
108.24,302.9,5.2,321.700711220849,0,0,107.7
89.97,290.84,5.2,304.482423959085,0,0,107.7
80.83,312.37,5.2,322.70039634311,0,0,107.7
65.42,297.39,5.2,304.544953167837,0,0,107.7
53.43,316.24,5.2,320.763998135701,0,0,107.7
41.44,301.48,5.2,304.359169403519,0,0,107.7
46.01,267.81,5.2,271.783289037424,0,0,107.7
30.59,257.25,5.2,259.114551115911,0,0,107.7
41.44,240.88,5.2,244.473900447471,0,0,107.7
50.58,224.66,5.2,230.342119465807,0,0,107.7
26.03,227.51,5.2,229.053271096485,0,0,107.7
35.16,201.77,5.2,204.876544533531,0,0,107.7
16.89,193.71,5.2,194.514462701363,0,0,107.7
30.59,178.97,5.2,181.639888240441,0,0,107.7
14.04,170.81,5.2,171.464916819739,0,0,107.7
0.34,181.73,5.2,181.804698784162,0,0,107.7
-16.22,172.33,5.2,173.169735519807,0,0,107.7
-31.63,178.92,5.2,181.768708253098,0,0,107.7
-46.48,165.74,5.2,172.212595358179,0,0,107.7
-54.47,150.76,5.2,160.382662716392,0,0,107.7
-39.05,143.96,5.2,149.25288640425,0,0,107.7
-27.07,157.36,5.2,159.756046833915,0,0,107.7
-13.36,146.54,5.2,147.239604726446,0,0,107.7
0.34,135.95,5.2,136.049836824599,0,0,107.7
11.18,147.96,5.2,148.472872943174,0,0,107.7
0.34,158.76,5.2,158.845501037958,0,0,107.7
-16.22,193.71,5.2,194.457431074259,0,0,107.7
0.34,207.29,5.2,207.355491125748,0,0,107.7
-36.2,203.05,5.2,206.317189056075,0,0,107.7
-49.9,188.41,5.2,194.975326900611,0,0,107.7
-71.02,193.71,5.2,206.384215723974,0,0,107.7
-83.01,177.58,5.2,196.092724240345,0,0,107.7
-63.6,169.49,5.2,181.104555712991,0,0,107.7
-73.88,156.07,5.2,172.751669456477,0,0,107.7
-104.14,178.92,5.2,207.085842104186,0,0,107.7
-145.24,179.07,5.2,230.624722222055,0,0,107.7
-165.22,181.84,5.2,245.744733412539,0,0,107.7
-163.51,163.06,5.2,230.97862173803,0,0,107.7
-184.63,161.6,5.2,245.417678458582,0,0,107.7
-180.07,143.84,5.2,230.525899846416,0,0,107.7
-178.35,125.01,5.2,217.860649498711,0,0,107.7
-196.62,123.74,5.2,232.374809306,0,0,107.7
-202.9,141.43,5.2,247.38208281927,0,0,107.7
-205.76,158.75,5.2,259.934184169762,0,0,107.7
-224.02,156.07,5.2,273.074797994982,0,0,107.7
-222.88,135.9,5.2,261.096427398002,0,0,107.7
-216.6,117.16,5.2,246.310912466338,0,0,107.7
-236.58,110.22,5.2,261.047093069431,0,0,107.7
-242.29,128.91,5.2,274.498218937756,0,0,107.7
-248.57,148.06,5.2,289.371471468768,0,0,107.7
-269.7,143.96,5.2,305.760709706136,0,0,107.7
-263.42,123.74,5.2,291.08198844999,0,0,107.7
-255.99,168.28,5.2,306.392034002191,0,0,107.7
-275.4,169.5,5.2,323.423020207282,0,0,107.7
-298.24,168.23,5.2,342.455063475487,0,0,107.7
-306.23,191.08,5.2,360.992270415864,0,0,107.7
-281.68,192.41,5.2,341.163114213714,0,0,107.7
-260.56,192.6,5.2,324.057577600031,0,0,107.7
-241.15,188.43,5.2,306.082059912044,0,0,107.7
-242.29,212.76,5.2,322.48767681882,0,0,107.7
-224.02,210.03,5.2,307.123104471155,0,0,107.7
-224.02,232.83,5.2,323.14363571019,0,0,107.7
-204.61,227.51,5.2,306.027927156983,0,0,107.7
-184.63,203.09,5.2,274.51926161929,0,0,107.7
-165.22,201.9,5.2,260.937345736481,0,0,107.7
-158.94,220.67,5.2,272.000390624719,0,0,107.7
-186.34,181.83,5.2,260.406959392409,0,0,107.7
-205.76,180.47,5.2,273.740092971417,0,0,107.7
-158.94,133.3,5.2,207.503864060407,0,0,107.7
-160.08,114.4,5.2,196.824811444086,0,0,107.7
-140.67,118.51,5.2,184.010078528324,0,0,107.7
-122.41,122.43,5.2,173.206099777115,0,0,107.7
-117.84,139.96,5.2,183.035808518443,0,0,107.7
-139.53,139.91,5.2,197.662512884968,0,0,107.7
-142.39,99.41,5.2,173.736294999059,0,0,107.7
-158.94,90.25,5.2,182.849736395763,0,0,107.7
-157.8,74.04,5.2,174.384063492052,0,0,107.7
-172.64,61.88,5.2,183.468645822658,0,0,107.7
-151.52,54.97,5.2,161.267018636794,0,0,107.7
-137.82,64.44,5.2,152.229780266543,0,0,107.7
-139.53,80.48,5.2,161.160452034611,0,0,107.7
-122.41,84.65,5.2,148.919006846003,0,0,107.7
-117.84,69.94,5.2,137.130992849902,0,0,107.7
-98.43,75.21,5.2,123.984067524824,0,0,107.7
-95,53.63,5.2,109.216376519275,0,0,107.7
-92.15,37.56,5.2,99.6464555315441,0,0,107.7
-75.59,43.03,5.2,87.1347749179396,0,0,107.7
-76.73,59.2,5.2,97.0524234627863,0,0,107.7
-60.18,60.55,5.2,85.5276265308467,0,0,107.7
-76.73,77.99,5.2,109.53069432812,0,0,107.7
-73.88,98.13,5.2,122.942227489175,0,0,107.7
-104.14,106.37,5.2,148.952195351395,0,0,107.7
-122.41,102.21,5.2,159.55604720599,0,0,107.7
-178.35,103.56,5.2,206.301808280975,0,0,107.7
-178.35,84.68,5.2,197.500544049884,0,0,107.7
-198.33,90.16,5.2,217.923506074953,0,0,107.7
-195.48,71.25,5.2,208.125041501497,0,0,107.7
-216.6,83.34,5.2,232.138225202141,0,0,107.7
-113.27,46.99,5.2,122.740347889355,0,0,107.7
0.34,84.68,5.2,84.8401909474513,0,0,107.7
29.45,106.31,5.2,110.436219602085,0,0,107.7
47.72,114.37,5.2,124.035217982636,0,0,107.7
55.14,95.41,5.2,110.320114666365,0,0,107.7
74.55,96.79,5.2,122.282650445597,0,0,107.7
16.89,123.69,5.2,124.946101179669,0,0,107.7
58,252.94,5.2,259.556705943037,0,0,107.7
15.75,271.79,5.2,272.295623541768,0,0,107.7
-45.33,267.86,5.2,271.718288858148,0,0,107.7
-58.47,252.99,5.2,259.71084112913,0,0,107.7
-76.73,261.2,5.2,272.286563935865,0,0,107.7
-85.87,244.99,5.2,259.655150151119,0,0,107.7
-105.85,251.65,5.2,273.054912059827,0,0,107.7
-96.71,269.04,5.2,285.941227702477,0,0,107.7
-126.97,317.64,5.2,342.11634059191,0,0,107.7
-119.55,338.01,5.2,358.566594372649,0,0,107.7
-99.57,327.02,5.2,341.882004937376,0,0,107.7
-90.44,348.65,5.2,360.226673221182,0,0,107.7
-71.02,333.91,5.2,341.418758272008,0,0,107.7
-60.18,356.71,5.2,361.788192869806,0,0,107.7
-43.62,337.96,5.2,340.803031089807,0,0,107.7
-31.63,358.14,5.2,359.571629164482,0,0,107.7
-14.51,340.5,5.2,340.848690917246,0,0,107.7
0.34,359.34,5.2,359.377783397917,0,0,107.7
-14.51,380.89,5.2,381.2017473727,0,0,107.7
0.34,403.88,5.2,403.913617002448,0,0,107.7
11.18,424.04,5.2,424.219228701387,0,0,107.7
-11.65,424.04,5.2,424.231875393634,0,0,107.7
-32.77,402.45,5.2,403.815447203299,0,0,107.7
-48.19,379.66,5.2,382.741468487542,0,0,107.7
-68.17,398.53,5.2,404.35176492752,0,0,107.7
-87.58,418.61,5.2,427.705071866117,0,0,107.7
-81.87,444.27,5.2,451.780444242555,0,0,107.7
-55.61,449.61,5.2,453.065849739307,0,0,107.7
-71.02,469.74,5.2,475.10688060688,0,0,107.7
-99.57,464.42,5.2,475.002275047183,0,0,107.7
-108.7,438.73,5.2,452.025157375118,0,0,107.7
-136.11,430.73,5.2,451.753588806996,0,0,107.7
-160.08,422.62,5.2,451.951668654957,0,0,107.7
-160.08,395.72,5.2,426.903929239355,0,0,107.7
-165.22,370.11,5.2,405.346889096241,0,0,107.7
-142.39,353.95,5.2,381.552820196628,0,0,107.7
-146.95,328.38,5.2,359.79823081833,0,0,107.7
-154.37,304.27,5.2,341.229204201516,0,0,107.7
-175.5,313.64,5.2,359.440314377784,0,0,107.7
-178.35,290.79,5.2,341.166508614196,0,0,107.7
-201.19,297.27,5.2,358.990123819584,0,0,107.7
-202.9,274.67,5.2,341.524609508597,0,0,107.7
-225.74,282.65,5.2,361.768724601782,0,0,107.7
-227.45,308.27,5.2,383.133051824037,0,0,107.7
-253.14,314.85,5.2,404.026511630116,0,0,107.7
-253.14,288.08,5.2,383.532248970018,0,0,107.7
-279.97,293.49,5.2,405.643465373227,0,0,107.7
-303.38,337.85,5.2,454.102507039985,0,0,107.7
-329.07,344.44,5.2,476.395863227212,0,0,107.7
-307.94,364.81,5.2,477.431062772418,0,0,107.7
